genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_min,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Jazz,Diana Krall,The Girl In The Other Room,7ubYuW7roWxUgqJXngrgRp,44,0.762,0.491,4.07,0.226,2.3e-05,0.107,-14.056,0.0421,106.515,0.288
Country,Hank Williams III,Cocaine Blues,3pIh9pn55Y17CkDbAHVL3y,41,0.0207,0.668,3.8988833333333335,0.743,0.0,0.16,-7.922,0.0422,121.456,0.927
Children's Music,Juice Music,I Don't Like Cricket (I Love It!),2NkZPG9bi9fDIN9TiYOax9,12,0.463,0.736,2.183116666666667,0.339,0.0,0.0434,-13.815,0.291,202.063,0.904
Jazz,"Grover Washington, Jr.",Make Me A Memory,21qeCg7VQMQ6nVBCVFeoKD,32,0.736,0.785,6.533783333333333,0.301,0.127,0.123,-14.561,0.0552,122.98,0.461
Alternative,dvsn,In Between,53BX9bScZinfUywOiZdm7z,54,0.508,0.47,3.3591,0.299,2.54e-05,0.0981,-10.248,0.0878,84.624,0.507
Folk,Noah Gundersen,GOD DON’T TALK TO STRANGERS,1WpnRu9iSDDR4F7LCNhaIW,45,0.603,0.493,4.8533333333333335,0.423,0.0258,0.113,-8.119,0.0308,157.784,0.23
Jazz,People Under The Stairs,Reach Out,1bNp5gHMj3LtTApSfv4awx,44,0.0211,0.725,3.0233833333333333,0.98,0.0103,0.385,-5.225,0.0659,96.602,0.503
Comedy,Al Madrigal,Breastfeeding,5dDrCTjsyrXUT0d21gx0h7,16,0.71,0.496,1.79555,0.942,0.0,0.943,-5.201,0.813,88.852,0.408
Alternative,Ari Lennox,New Apartment,587qpoPHuXkSRSykLM4EBp,58,0.302,0.534,3.94465,0.489,0.0,0.112,-8.725,0.241,147.943,0.416
Rock,Bryan Adams,No Time For Love,0He7iCPcKJRCEJA3ziFtOI,25,0.0769,0.636,2.0733333333333333,0.903,0.0,0.0903,-4.014,0.0745,148.066,0.494
Folk,Hop Along,Well-dressed,242DUUeXEneTDY1ok4hRel,45,0.289,0.623,4.044816666666667,0.32,0.0,0.078,-9.266,0.0288,76.912,0.459
Reggaeton,Ale Mendoza,Piloteando La Nave Remix (feat. Jaycob Duque),5tBs4hh2EpR49BWle2JiNJ,26,0.0641,0.793,5.025083333333333,0.707,1.24e-05,0.0718,-11.626,0.0686,96.011,0.964
Reggaeton,Pasabordo,Por Estar Contigo,7Kf1AZ6htfvyH0acpbGIMB,27,0.0735,0.555,3.1208833333333335,0.889,0.0,0.0454,-4.862,0.0418,104.305,0.721
Opera,Giacomo Puccini,Violin Fantasy on Puccini's 'Turandot',2Ezzj6m60UO4ApCY62RFqw,18,0.901,0.147,11.612216666666669,0.18,0.448,0.241,-17.646,0.049,72.307,0.07
Folk,Bomb the Music Industry!,Future 86,65cB6toYCPUMweTCW8qlYi,39,0.562,0.684,4.901116666666667,0.331,0.00815,0.675,-8.262,0.0545,119.979,0.344
World,All Sons & Daughters,God With Us - Live,5AMa51Rw3V4sJ2TRNSoS8k,32,0.0158,0.442,4.110883333333334,0.531,0.0,0.314,-6.789,0.031,136.073,0.206
Pop,Lil Uzi Vert,X,5tRmoZRoupvMYPV1oezFrH,64,0.0043,0.623,2.8966333333333334,0.58,0.0,0.394,-7.076,0.332,163.159,0.301
Comedy,Margaret Cho,Her Pussy Exploded,22LfbOTS3NfBL5b1nhS4XB,19,0.865,0.375,2.55445,0.726,1.32e-05,0.721,-19.096,0.641,172.783,0.0311
Soul,The Isley Brothers,Groove With You,4KzT6yADxxseulgMqzlUtl,34,0.635,0.62,4.81445,0.462,0.0232,0.117,-10.173,0.0501,163.277,0.414
Dance,Kid Ink,Woop Woop,0RySKi4j0iW5yS116alcba,55,0.531,0.822,3.570766666666666,0.672,0.0,0.106,-4.233,0.0544,97.014,0.694
Country,Jana Kramer,Over You By Now,7LdKCWO2RY3QT7ap8ts9dQ,37,0.62,0.563,3.9657833333333334,0.354,1.03e-06,0.103,-7.922,0.0309,127.578,0.109
Blues,Eagles Of Death Metal,It's So Easy,1st5yC1crw6HAJSpH9NsVb,36,0.671,0.501,3.1766666666666667,0.997,0.0,0.117,-4.324,0.431,158.099,0.153
Children's Music,Children Songs Company,Picture Perfect,2GVzAKfBFmK6X5kfqojPxv,0,0.785,0.758,4.966666666666667,0.731,0.523,0.102,-11.559,0.0414,119.975,0.971
Country,Johnny Cash,I'm So Lonesome I Could Cry,3iehS49kD0gDoHSK7zCpE8,43,0.944,0.55,3.0462166666666666,0.118,0.000104,0.15,-12.341,0.0289,90.61,0.279
Soul,Billy Paul,Me and Mrs. Jones,4sj8qFcEDnRPNv3tBbUVUf,64,0.388,0.303,4.762666666666667,0.555,1.16e-06,0.468,-9.259,0.0482,67.322,0.447
Country,Chase Rice,Beer With the Boys,4HAIVqPyz9dcmqirGIXGlg,46,0.00251,0.524,3.4779333333333335,0.891,0.0,0.27,-4.299,0.048,141.959,0.776
R&B,Megan Thee Stallion,Big Ole Freak,3YEbLhXRDPTtctnb3ddg8g,61,0.00867,0.799,3.58085,0.699,0.0,0.132,-7.694,0.204,142.979,0.627
Classical,Akira Kosemura,You,6m8daiOKtVC12E1KmCX7lz,29,0.99,0.574,4.295483333333333,0.0149,0.851,0.0578,-21.515,0.114,106.184,0.191
Blues,The Chantels,Maybe,2xMAFTxwZ0w1twuyMZcYb7,43,0.751,0.489,2.9022166666666664,0.415,0.000653,0.14,-7.466,0.0268,104.207,0.357
Electronic,Nortec Collective,Olvidela Compa,4Z4JaAqhZrQCLebwhU6LmY,44,0.153,0.792,4.4188833333333335,0.549,0.379,0.343,-9.855,0.0456,120.013,0.476
Opera,Giuseppe Verdi,Messa da Requiem: I. Requiem (e Kyrie): Requiem aeternam,7LZKVOm18uRB854fu5bTbw,19,0.979,0.0708,8.600216666666666,0.0669,0.0163,0.0963,-24.175,0.0464,54.546,0.0385
Classical,Wolfgang Amadeus Mozart,"Requiem, K. 626: Sanctus",3zuTQX4qn4ghjNTMoPvUTZ,34,0.847,0.21,1.4328833333333333,0.295,0.00111,0.217,-17.021,0.0361,91.842,0.391
Soul,Riz La Vie,Soap,1k35QWggtlqXO6fui8n1PU,48,0.494,0.496,3.1914833333333332,0.569,0.0,0.111,-8.076,0.465,149.145,0.219
Reggaeton,Casa De Leones,Potrona - Amended Version,3vsPoyknnILMgAuCcLqrED,29,0.093,0.822,3.2457833333333332,0.862,0.000813,0.0831,-6.31,0.0734,94.993,0.729
Blues,John Mayall,So Hard To Share,3Ht3ffJa58su4AUhbVCRMY,29,0.645,0.606,7.083116666666666,0.535,0.744,0.714,-11.006,0.0394,110.113,0.752
R&B,Alicia Keys,Put It In a Love Song (feat. Beyoncé Knowles),2PxefLyJ3Fw7ZZlROnbpTp,47,0.0793,0.633,3.2597833333333335,0.689,0.0,0.296,-7.904,0.285,184.872,0.654
Classical,Johann Sebastian Bach,Concerto for two violins BWV 1043 in D Minor: Concerto for two violins BWV 1043 in D Minor: III. Allegro,4MWApmCN5F3djPLvKCQUQC,36,0.786,0.516,4.669333333333333,0.344,4.01e-05,0.126,-13.704,0.0358,103.672,0.7
Hip-Hop,Chance the Rapper,I Might Need Security,3EApebexZ7YqDIqw2EMTDh,70,0.177,0.514,4.010666666666666,0.693,0.0,0.351,-5.868,0.408,110.568,0.287
Folk,Hayden Calnin,Caution Cares,64IQtRQehhKter1drFiUI1,43,0.074,0.431,3.7992333333333335,0.479,0.66,0.142,-9.352,0.0377,75.279,0.188
Reggaeton,Pacho y Cirilo,El Que Tenga Miedo Que Se Quite (feat. Cosculluela),2toQ4DCAh53laiMJKkAPGn,26,0.416,0.516,3.4381666666666666,0.865,0.0,0.191,-3.801,0.328,77.949,0.881
Blues,Sonic Youth,Sugar Kane,6q03mlzKsM1m3TLpi6T6Cw,49,6.97e-05,0.339,5.96155,0.902,0.654,0.0691,-5.35,0.049,134.964,0.359
Reggaeton,Ele A El Dominio,Pauta a Cojon,5kaGALVaylHzmEziA5AaDC,29,0.0154,0.741,5.569233333333333,0.653,3.76e-06,0.109,-7.805,0.049,135.025,0.318
Electronic,Apashe,I'm A Dragon feat. Sway - Owl Vision Remix,0Rbo9ZRIF4owOyNdDp7m7i,38,0.000174,0.637,3.969,0.901,0.792,0.087,-5.832,0.0349,129.017,0.386
Reggae,Dirty Heads,I Got No Time,10H6r26rFEL2ph4e8rxV0E,34,0.504,0.815,4.012666666666667,0.404,0.0,0.101,-9.37,0.111,140.901,0.298
Anime,fripSide,Blue Moon,5b1CNFSRezHBBD3ExAHRN0,21,0.0595,0.609,5.7187833333333336,0.993,1.4e-05,0.0951,-5.087,0.221,125.026,0.341
Jazz,"Grover Washington, Jr.","Let It Flow [For ""DR. J""]",6jY7UcNWda03nyJ5XiqlYt,35,0.146,0.743,5.843333333333334,0.352,0.104,0.0585,-17.225,0.061,108.784,0.722
Reggae,Dirty Heads,Hip Hop Misfits,195nwDzTWZXpvZm841XDPf,34,0.201,0.786,2.6542166666666667,0.916,0.0,0.563,-5.463,0.264,94.033,0.657
Hip-Hop,Blac Youngsta,901,25zVuAKeEB5MtBidS1EXrG,50,0.000778,0.879,2.6986666666666665,0.48,0.0,0.124,-8.062,0.401,144.011,0.245
Ska,The Bouncing Souls,Digital Twilight Zone,2uWwvz984haZaGZ7bYPJCs,25,0.0023,0.526,1.4416666666666669,0.971,2.78e-06,0.246,-3.286,0.0472,95.42,0.863
Opera,Cesare Siepi,Ella giammai m´amò (Don Carlo),5WyX6MpeQy5vAKbCBYKMRP,10,0.979,0.149,9.604,0.163,0.205,0.106,-16.802,0.0446,82.138,0.0466
Jazz,Eric Darius,Goin' All Out,64bOHAVAipEaL9KSvBIl34,39,0.0928,0.708,4.172633333333334,0.823,0.819,0.23,-6.307,0.0914,168.038,0.935
Reggaeton,Jamby el Favo,Adicto a Ti,13IaHD0Ak9rhbI5TdaD0VT,42,0.187,0.767,3.3535166666666667,0.941,0.0,0.124,-3.03,0.212,144.958,0.619
Hip-Hop,The Game,"Down To Fuck (feat. YG, Ty Dolla $ign, Jeremih)",5NEAllh24T2YapWJmuw0j0,61,0.254,0.833,3.1441,0.742,0.0,0.242,-5.761,0.261,102.505,0.694
Movie,Ken Page,Ease on Down the Road,401PGcSOWvhufbnvueTxLG,0,0.272,0.504,1.49355,0.911,0.0,0.66,-4.13,0.0831,132.952,0.633
Reggaeton,Dimelo Flow,In the Morning,6uxHiAk1wHXDPepJL7AoQZ,28,0.133,0.662,3.5191333333333334,0.808,0.000476,0.372,-5.895,0.054,103.052,0.556
Comedy,Harland Williams,Body Enhancement,6rRgNa1EkSLHbCdgeD28CU,10,0.774,0.56,5.056666666666667,0.638,0.0,0.72,-10.316,0.952,85.906,0.362
Electronic,Portishead,Glory Box,3Ty7OTBNSigGEpeW2PqcsC,67,0.228,0.481,5.092666666666666,0.409,0.409,0.0735,-9.919,0.0396,119.756,0.232
Children's Music,Kimbo Children's Music,Elegant Elephant (Instrumental),3RdiwmlGPYoHdna8Qt7XlQ,0,0.752,0.873,2.810583333333333,0.1,0.326,0.0858,-17.365,0.0472,109.156,0.631
Reggae,Shaggy,Feel The Rush - Radio Edit,2DO8rJO2j1lQoNoA6fE9hz,28,0.00941,0.743,3.072,0.94,0.000851,0.347,-4.886,0.0769,124.049,0.962
R&B,Ama Lou,Tbc,5cRAelX8WhQm5hJnuGnGx6,44,0.379,0.454,3.791516666666667,0.49,0.12,0.27,-10.384,0.139,87.98,0.134
Classical,Pyotr Ilyich Tchaikovsky,"The Nutcracker - Ballet, Op.71, Act II: No. 14 - Pas de deux",2oUX4i8ByoaDrHHz9z5Bga,45,0.93,0.178,5.108883333333333,0.152,0.953,0.099,-18.873,0.041,119.882,0.0796
Folk,Hozier,Would That I,37zuIvk4KBkAxxLJsxJaHq,65,0.243,0.521,4.47155,0.526,0.00537,0.108,-6.032,0.0281,130.694,0.502
Soul,Klyne,Like A Razor,792BFkFZPRWNLPLOa6rwK0,44,0.45,0.881,4.21755,0.37,0.000234,0.0907,-9.056,0.0382,102.983,0.362
Reggaeton,Tego Calderon,Supongo,1pkwU8P45enT4imAjJ9PM2,28,0.217,0.766,2.9068833333333335,0.795,0.129,0.292,-4.171,0.0568,91.988,0.222
World,Miriam Makeba,Quit It,5M2RyoYc95uC79sFUp2EJ1,44,0.63,0.574,4.01,0.489,0.0,0.0448,-7.731,0.0384,143.063,0.482
Folk,Alvvays,Plimsoll Punks,6XmOUsOiaIXZ16izZtkW5m,50,0.00788,0.283,4.82645,0.856,0.0248,0.277,-4.444,0.0461,162.566,0.347
Soul,Bobby Womack,It's Party Time,3BpBiB8VZOjkNuYO5Wj5Vf,44,0.212,0.771,4.167783333333333,0.757,1.2e-05,0.285,-7.018,0.033,120.367,0.961
Reggae,Tribal Theory,Hell Of A Night ft. Beach Boy,0Fo4m2WxDW0tNLy3ia0oWO,52,0.211,0.745,3.122633333333334,0.674,5.42e-05,0.293,-6.005,0.102,91.975,0.703
Jazz,Melanie De Biasio,Afro Blue,0ZLzeAUwKcfLb6wSsAp0KN,44,0.845,0.64,4.5537833333333335,0.291,0.516,0.109,-16.519,0.0289,101.984,0.605
Hip-Hop,Tee Grizzley,Lost and Found (feat. YNW Melly),4b6JWEZfAz9UPQBQaFkCPQ,62,0.0684,0.907,2.663883333333333,0.683,7.18e-06,0.0834,-8.079,0.349,89.983,0.342
Country,Stoney LaRue,Empty Glass,57oFwLUld5xfYtuLkz9ueY,44,0.548,0.593,4.106216666666667,0.581,0.000202,0.108,-7.415,0.0249,100.035,0.256
Blues,Warren Haynes,River's Gonna Rise,0Gzm4diS5XPuxPFAovPRji,25,0.18,0.7,6.85155,0.7,0.0235,0.136,-5.678,0.0395,119.3,0.621
Soundtrack,Bear McCreary,Into Paris,6EmGPxrzWcOdP4ksocgjvJ,27,0.813,0.227,3.8217833333333338,0.174,0.9,0.124,-17.293,0.0384,119.358,0.0595
Folk,Raffi,Apples And Bananas,2HG8Gs3rkUhiTeMDjmAa7d,46,0.762,0.847,1.6288833333333332,0.205,7.41e-06,0.0993,-10.39,0.0549,140.251,0.941
Dance,Taylor Swift,How You Get The Girl,4dYUOfmWna6DFccnz732n8,54,0.00463,0.764,4.12555,0.659,0.00458,0.0915,-6.136,0.0492,119.982,0.525
Folk,Band of Horses,I Go to the Barn Becase I Like The,5aN3Cyeoa5x4gc41HOIqeX,47,0.17,0.395,3.11155,0.391,0.0,0.0975,-7.063,0.0313,119.692,0.208
World,Mary Lattimore,We Just Found Out She Died,1Cctgn7pSJfRkVCL033fBU,30,0.968,0.337,4.48285,0.241,0.951,0.117,-13.482,0.0311,82.914,0.0427
Dance,Dillon Francis,Anywhere,0fMMtO0pOYIGWfbJmrqfVJ,55,0.0266,0.795,2.9599333333333333,0.642,1.2e-05,0.0805,-4.089,0.0425,115.009,0.608
Alternative,grandson,thoughts & prayers,22yRdwQ4OXUlPrLGhF6ebu,58,0.00142,0.491,3.75555,0.925,0.000112,0.282,-2.701,0.0697,150.046,0.333
Anime,Bruce Faulconer,Super Buu,3g8n5IpUNPTFM38wna9Kxg,28,0.000806,0.339,2.886216666666667,0.782,0.928,0.142,-6.156,0.0316,89.559,0.229
Opera,Giuseppe Verdi,"Rigoletto, Act III: La donna è mobile (Duca, Sparafucile, Rigoletto)",39jQQxvvQkpyF5Z9AG5Dmz,9,0.984,0.404,2.518883333333333,0.128,7.03e-05,0.0889,-12.485,0.037,124.299,0.236
Pop,Eric Paslay,Friday Night,66rVt7PbwyKlu6CK6rxyAi,61,0.16,0.657,2.7868833333333334,0.841,0.0,0.177,-4.188,0.0452,120.009,0.722
Jazz,Kev Brown,Look - Instrumental,7q8uKG5yKTFY82MTFN78nj,35,0.35,0.82,2.804883333333333,0.0944,0.896,0.101,-15.297,0.0425,93.077,0.582
Movie,Anika Noni Rose,Duets: 'Night Mamma,4J3b2y9Ga6jLA91TCk6LOo,8,0.956,0.414,0.746,0.0496,1.69e-06,0.122,-22.429,0.0417,79.255,0.25
Country,Josh Turner,Why Don't We Just Dance,2p07VcUwRZ5sru3mJ0JogS,65,0.42,0.677,3.213333333333334,0.776,0.000689,0.0954,-5.933,0.0386,121.834,0.642
World,Leeland,Invisible,29Gg4ShehKQoLEQoTnqX5g,42,0.000713,0.505,4.664,0.779,7.7e-06,0.28,-5.704,0.0333,126.033,0.211
Ska,Deal's Gone Bad,Antennas,1Nojkg6l2FofaguOfIZeuQ,19,0.0404,0.415,3.3836166666666667,0.898,4.2e-05,0.249,-3.859,0.0399,87.915,0.975
Indie,Hoodie Allen,never going back,1RVwAj0VX2LHPfHERNvI95,63,0.101,0.852,2.8992666666666667,0.828,0.0,0.269,-5.563,0.214,93.097,0.847
Classical,Antonio Vivaldi,"Flute Concerto in D Major, Op. 10, No. 3, RV 428, ""Il gardellino"": II. Cantabile",5zQRSyqeggWJXJ64vZ6oxz,33,0.952,0.267,3.066666666666667,0.0234,0.425,0.0633,-28.323,0.0533,174.503,0.512
Electronic,Junkie XL,Maximum Effort,2Y8FQUUdf7l9BAIfJCwX2F,31,0.0336,0.521,2.1333333333333333,0.894,0.794,0.111,-9.597,0.0859,133.718,0.0969
R&B,D'Angelo,Left And Right,4EQ0dK6Sg7v685NGrQvuki,45,0.219,0.842,4.77445,0.405,0.0,0.368,-9.504,0.628,91.972,0.824
Children's Music,John Stegman,Meet Aesop!,3oxoWUa5GdL2TP7DgPsp1r,6,0.621,0.806,0.59445,0.288,0.0,0.438,-16.808,0.949,113.837,0.2
Reggae,Bob Marley & The Wailers,"Guiltiness - Live At Rainbow Theatre, London / 1977",32P3GdrfVsmgptr5qkhBnZ,39,0.605,0.81,7.392,0.603,0.00202,0.699,-7.184,0.0361,123.133,0.882
Rap,Lund,Rx Luv,6r4BCh7znuoqv6Zh7q0HAN,54,0.0619,0.675,3.641033333333333,0.726,2.86e-05,0.0945,-1.696,0.0313,155.953,0.591
Hip-Hop,The Diplomats,I Really Mean It,1IQPLs3r6lt4iNrQzAhnWs,48,0.0287,0.45,4.363333333333333,0.73,0.000104,0.796,-4.606,0.241,162.858,0.82
Alternative,Sango,Sweet Holy Honey (feat. Xavier Omär),6DTVnv7jEHFJhDIxlRwC3i,44,0.61,0.623,3.75495,0.475,0.00264,0.265,-10.06,0.0735,145.027,0.425
Blues,Roy Buchanan,The Messiah Will Come Again,17X9PiwR8WODuqWyBIt2uI,29,0.736,0.437,5.923333333333333,0.142,0.651,0.116,-17.438,0.0329,94.615,0.0684
Anime,Nobuo Uematsu,"Ahead On Our Way: Piano Collections Version (From ""Final Fantasy VII"") [For Piano Solo]",1zm41qLSFv4rL7Rf6Bcmgo,17,0.992,0.544,4.40035,0.04,0.853,0.141,-27.92,0.0804,74.427,0.103
Children's Music,The Fresh Beat Band,Here We Go,52eB3fHjyqjx9v05xhA7id,24,0.083,0.7,1.896,0.943,0.0,0.0443,-3.923,0.112,156.034,0.963
Dance,Olly Murs,Dance with Me Tonight,6Rxnq6T6b89rgQaDmzBF0l,59,0.314,0.666,3.378216666666667,0.75,0.0,0.0753,-5.926,0.0598,163.937,0.964
Ska,Transplants,Sad But True,0Km6yfSNWRjZ1QdJFqfi7O,38,0.00387,0.494,4.437983333333333,0.861,0.0,0.0625,-3.598,0.0505,146.043,0.451
Reggaeton,"Tito ""El Bambino""",Barquito,5cTpdEp2ReCnf5xHlBlkck,27,0.155,0.781,3.6888833333333335,0.849,0.0,0.298,-6.634,0.102,100.022,0.858
Reggae,311,Make It Rough,6DwvhycpYe0wLDTrT3MoqL,29,0.0195,0.704,3.370116666666666,0.678,0.0,0.257,-8.144,0.0306,102.913,0.935
Classical,Wolfgang Amadeus Mozart,"Klavierkonzert Nr. 21 C-Dur, K. 467, ""Elvira Madigan"": 2. Andante (Elvira Madigan): II. Andante",5FZJhk1rz6MPOKwM7SFLp4,41,0.976,0.255,6.732216666666667,0.0342,0.927,0.0954,-28.614,0.0369,125.934,0.103
Reggaeton,Arcangel,Se Supone,7tqwBgJynmxq6ogbF2O0uR,46,0.141,0.727,3.467966666666667,0.703,8.18e-05,0.127,-5.334,0.122,138.064,0.54
Jazz,Dean Martin,Under The Bridges Of Paris,4LbhIS1d4kBg7lapZ61B4z,41,0.917,0.211,2.82045,0.0875,1.87e-05,0.118,-16.903,0.0341,168.535,0.182
Classical,Gustav Mahler,"Symphony No. 5 in C-Sharp Minor / Pt. 2: 3. Scherzo (Kräftig, nicht zu schnell) - Live",14LbsKqnJqBVZWzOO5YGTo,25,0.964,0.185,19.14155,0.134,0.747,0.0479,-19.679,0.0602,68.987,0.0867
Classical,George Frideric Handel,"Menuet en Sol Mineur, Transcription de Wilhem Kempff d’après Le Menuet de la Suite en Si Bémol Majeur No. 1, HWV 434, 1er Cahier",27cvNIRYgNqDGki4r49lxF,47,0.995,0.401,4.594,0.00611,0.948,0.0637,-32.702,0.0611,68.54,0.0851
