genre,popularity,acousticness,danceability,duration_min,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Alternative,50.2579,0.1601,0.5411,3.8835,0.7139,0.0608,0.1974,-6.5163,0.0893,122.52,0.4489
Anime,24.2562,0.2869,0.4721,3.8324,0.6653,0.2806,0.1924,-7.9186,0.0651,126.6331,0.4417
Blues,33.6839,0.3332,0.5289,4.2086,0.6033,0.0978,0.2355,-9.095,0.0621,121.1763,0.5803
Children's Music,4.2456,0.5918,0.6975,2.379,0.3969,0.1436,0.1649,-11.6424,0.1173,121.1264,0.6759
Children’s Music,52.3025,0.1556,0.5251,3.8732,0.7126,0.0305,0.1998,-6.3686,0.0715,122.5496,0.4386
Classical,29.3202,0.8686,0.3066,5.2158,0.1753,0.6132,0.1586,-21.7523,0.0515,104.4978,0.2156
Comedy,21.3202,0.7934,0.559,3.9224,0.6762,0.0006,0.7251,-11.6928,0.8541,98.2155,0.4126
Country,44.2487,0.2723,0.5757,3.6144,0.6354,0.0055,0.1888,-7.3354,0.0481,123.6453,0.5349
Dance,57.3515,0.1549,0.642,3.7397,0.6962,0.0286,0.1869,-6.0206,0.0852,120.7088,0.5177
Electronic,37.5923,0.1197,0.6191,4.4858,0.7393,0.3538,0.2099,-7.0383,0.0997,125.9198,0.3853
Folk,49.6713,0.4853,0.5243,3.8998,0.4791,0.0897,0.1677,-10.0002,0.0451,118.5971,0.427
Hip-Hop,58.5167,0.1736,0.7276,3.6236,0.6455,0.009,0.2005,-6.7947,0.2115,122.0464,0.4622
Indie,53.5289,0.3101,0.5738,3.5997,0.602,0.0989,0.1726,-7.6208,0.0653,120.7033,0.4521
Jazz,39.8851,0.5188,0.5793,4.4265,0.4635,0.3733,0.1721,-11.4608,0.0716,111.6581,0.5103
Movie,12.1466,0.6975,0.4911,3.5069,0.3706,0.1255,0.2288,-12.9538,0.1094,113.9457,0.4478
Opera,13.3356,0.9452,0.2906,4.3194,0.1688,0.232,0.2233,-19.3398,0.0597,101.803,0.1899
Pop,67.065,0.2539,0.6051,3.6415,0.6602,0.0171,0.1782,-6.1794,0.0744,123.2664,0.5058
R&B,48.4637,0.3059,0.6382,3.775,0.5546,0.0308,0.1749,-7.8107,0.1234,116.1215,0.4449
Rap,59.5158,0.2247,0.7039,3.3663,0.6174,0.0232,0.1885,-7.3009,0.1812,120.9923,0.4418
Reggae,35.3901,0.1859,0.6994,3.9903,0.6353,0.0403,0.1931,-7.5231,0.1165,118.0461,0.6798
Reggaeton,36.4803,0.2199,0.7303,3.8689,0.7485,0.0037,0.2085,-5.9101,0.1282,121.0463,0.66
Rock,58.7678,0.2088,0.5205,4.0955,0.6747,0.0581,0.1941,-7.8443,0.0532,122.9377,0.5138
Ska,27.4411,0.0877,0.5107,3.1511,0.8369,0.057,0.2472,-5.9686,0.0883,130.8127,0.6473
Soul,43.4919,0.3541,0.6157,3.8411,0.548,0.0643,0.1839,-8.7435,0.0824,115.6671,0.4843
Soundtrack,33.682,0.7084,0.2622,3.1814,0.2242,0.7899,0.1371,-19.2703,0.0436,104.031,0.113
World,34.416,0.3794,0.4436,5.2728,0.5169,0.2067,0.236,-10.3265,0.0453,120.4585,0.2951
